"Date","Depth","Measurement"
2017-02-18,24,2.27965625
2017-02-18,25,2.39646875
2017-02-18,26,2.44940625
2017-02-18,27,2.56885416666667
2017-02-18,28,2.7548125
2017-02-19,2,0.909
2017-02-19,3,1.20541666666667
2017-02-19,4,1.25525
2017-02-19,5,1.308625
2017-02-19,6,1.369875
2017-02-19,7,1.45475
2017-02-19,8,1.5446875
2017-02-19,9,1.6284375
2017-02-19,10,1.6818125
2017-02-19,11,1.7245625
2017-02-19,12,1.8185
2017-02-19,13,1.8995
2017-02-19,14,1.9265
2017-02-19,15,1.94
2017-02-19,16,1.94
2017-02-19,17,1.96675
2017-02-19,18,2.02025
2017-02-19,19,2.06190625
2017-02-19,20,2.09171875
2017-02-19,21,2.08128125
2017-02-19,22,2.03059375
2017-02-19,23,2.09670833333333
2017-02-19,24,2.279625
2017-02-19,25,2.3975625
2017-02-19,26,2.45052083333333
2017-02-19,27,2.56997916666667
2017-02-19,28,2.7559375
2017-02-20,2,0.921770833333333
2017-02-20,3,1.22033333333333
2017-02-20,4,1.262
2017-02-20,5,1.315375
2017-02-20,6,1.3828125
2017-02-20,7,1.464875
2017-02-20,8,1.5475
2017-02-20,9,1.629
2017-02-20,10,1.6840625
2017-02-20,11,1.7256875
2017-02-20,12,1.8190625
2017-02-20,13,1.900625
2017-02-20,14,1.929875
2017-02-20,15,1.9445
2017-02-20,16,1.9445
2017-02-20,17,1.97125
2017-02-20,18,2.02475
2017-02-20,19,2.06725
2017-02-20,20,2.09875
2017-02-20,21,2.0905625
2017-02-20,22,2.0426875
2017-02-20,23,2.10710416666667
2017-02-20,24,2.2838125
2017-02-20,25,2.398375
2017-02-20,26,2.45079166666667
2017-02-20,27,2.5730625
2017-02-20,28,2.7651875
2017-02-21,2,0.966291666666667
2017-02-21,3,1.2440625
2017-02-21,4,1.27739583333333
2017-02-21,5,1.32570833333333
2017-02-21,6,1.3879375
2017-02-21,7,1.4683125
2017-02-21,8,1.5559375
2017-02-21,9,1.6385625
2017-02-21,10,1.697
2017-02-21,11,1.734125
2017-02-21,12,1.81625
2017-02-21,13,1.90540625
2017-02-21,14,1.94646875
2017-02-21,15,1.9664375
2017-02-21,16,1.9653125
2017-02-21,17,1.9920625
2017-02-21,18,2.0466875
2017-02-21,19,2.0875
2017-02-21,20,2.1145
2017-02-21,21,2.10233333333333
2017-02-21,22,2.051
2017-02-21,23,2.11473958333333
2017-02-21,24,2.29355208333333
2017-02-21,25,2.40673958333333
2017-02-21,26,2.45430208333333
2017-02-21,27,2.57667708333333
2017-02-21,28,2.77386458333333
2017-02-22,2,1.10202083333333
2017-02-22,3,1.30452083333333
2017-02-22,4,1.31720833333333
2017-02-22,5,1.351875
2017-02-22,6,1.4045
2017-02-22,7,1.477
2017-02-22,8,1.5626875
2017-02-22,9,1.6543125
2017-02-22,10,1.709375
2017-02-22,11,1.7375
2017-02-22,12,1.8185
2017-02-22,13,1.90596875
2017-02-22,14,1.94590625
2017-02-22,15,1.9664375
2017-02-22,16,1.9675625
2017-02-22,17,1.99515625
2017-02-22,18,2.04921875
2017-02-22,19,2.0936875
2017-02-22,20,2.1285625
2017-02-22,21,2.12071875
2017-02-22,22,2.07015625
2017-02-22,23,2.11996875
