"","Date","Depth","Measurement"
"489",2017-02-06,4,1.19625
"490",2017-02-06,5,1.244
"491",2017-02-06,6,1.303
"492",2017-02-06,7,1.381125
"493",2017-02-06,8,1.462625
"494",2017-02-06,9,1.534
"495",2017-02-06,10,1.588
"496",2017-02-06,11,1.6374375
"497",2017-02-06,12,1.729625
"498",2017-02-06,13,1.8201875
"499",2017-02-06,14,1.8618125
"500",2017-02-06,15,1.88346875
"501",2017-02-06,16,1.88515625
"502",2017-02-06,17,1.91271875
"503",2017-02-06,18,1.96615625
"504",2017-02-06,19,2.00640625
"505",2017-02-06,20,2.03346875
"506",2017-02-06,21,2.0196875
"507",2017-02-06,22,1.9650625
"508",2017-02-06,23,2.02528125
"509",2017-02-06,24,2.20034375
"510",2017-02-06,25,2.31490625
"511",2017-02-06,26,2.36896875
"512",2017-02-06,27,2.4895
"513",2017-02-06,28,2.6765
"514",2017-02-07,2,0.948625
"515",2017-02-07,3,1.172125
"516",2017-02-07,4,1.2075
"517",2017-02-07,5,1.2485
"518",2017-02-07,6,1.303
"519",2017-02-07,7,1.383375
"520",2017-02-07,8,1.464875
"521",2017-02-07,9,1.5458125
"522",2017-02-07,10,1.5998125
"523",2017-02-07,11,1.6425
"524",2017-02-07,12,1.7375
"525",2017-02-07,13,1.82525
"526",2017-02-07,14,1.86575
"527",2017-02-07,15,1.886
"528",2017-02-07,16,1.886
"529",2017-02-07,17,1.913
"530",2017-02-07,18,1.967
"531",2017-02-07,19,2.00725
"532",2017-02-07,20,2.03375
"533",2017-02-07,21,2.0185625
"534",2017-02-07,22,1.9616875
"535",2017-02-07,23,2.0221875
"536",2017-02-07,24,2.2000625
"537",2017-02-07,25,2.31996875
"538",2017-02-07,26,2.38190625
"539",2017-02-07,27,2.50189583333333
"540",2017-02-07,28,2.6799375
"541",2017-02-08,2,0.946291666666667
"542",2017-02-08,3,1.1794375
"543",2017-02-08,4,1.2075
"544",2017-02-08,5,1.2513125
"545",2017-02-08,6,1.3058125
"546",2017-02-08,7,1.3845
"547",2017-02-08,8,1.4665625
"548",2017-02-08,9,1.5480625
"549",2017-02-08,10,1.61025
"550",2017-02-08,11,1.65125
"551",2017-02-08,12,1.7380625
"552",2017-02-08,13,1.826375
"553",2017-02-08,14,1.866875
"554",2017-02-08,15,1.88684375
"555",2017-02-08,16,1.88628125
"556",2017-02-08,17,1.913
"557",2017-02-08,18,1.967
"558",2017-02-08,19,2.00753125
"559",2017-02-08,20,2.03459375
"560",2017-02-08,21,2.02109375
"561",2017-02-08,22,1.96703125
"562",2017-02-08,23,2.02865625
"563",2017-02-08,24,2.20596875
"564",2017-02-08,25,2.32671875
"565",2017-02-08,26,2.39090625
"566",2017-02-08,27,2.51004166666667
"567",2017-02-08,28,2.684125
"568",2017-02-09,2,0.934708333333333
"569",2017-02-09,3,1.18
"570",2017-02-09,4,1.2075
"571",2017-02-09,5,1.25975
"572",2017-02-09,6,1.3170625
"573",2017-02-09,7,1.3873125
"574",2017-02-09,8,1.4744375
"575",2017-02-09,9,1.56325
"576",2017-02-09,10,1.6228125
"577",2017-02-09,11,1.6570625
"578",2017-02-09,12,1.749875
"579",2017-02-09,13,1.84690625
"580",2017-02-09,14,1.88346875
"581",2017-02-09,15,1.90034375
"582",2017-02-09,16,1.89753125
"583",2017-02-09,17,1.92115625
"584",2017-02-09,18,1.97121875
"585",2017-02-09,19,2.0089375
"586",2017-02-09,20,2.0343125
"587",2017-02-09,21,2.02025
"588",2017-02-09,22,1.96675
"589",2017-02-09,23,2.03371875
"590",2017-02-09,24,2.22115625
"591",2017-02-09,25,2.34190625
"592",2017-02-09,26,2.39596875
"593",2017-02-09,27,2.5125625
"594",2017-02-09,28,2.6916875
"595",2017-02-10,2,0.935270833333333
"596",2017-02-10,3,1.18
"597",2017-02-10,4,1.2075
"598",2017-02-10,5,1.260875
"599",2017-02-10,6,1.3255
"600",2017-02-10,7,1.401625
"601",2017-02-10,8,1.4865
"602",2017-02-10,9,1.5745
"603",2017-02-10,10,1.63125
"604",2017-02-10,11,1.666625
"605",2017-02-10,12,1.758875
"606",2017-02-10,13,1.85225
"607",2017-02-10,14,1.89275
"608",2017-02-10,15,1.907375
"609",2017-02-10,16,1.896125
"610",2017-02-10,17,1.91721875
"611",2017-02-10,18,1.97065625
"612",2017-02-10,19,2.010625
"613",2017-02-10,20,2.037125
"614",2017-02-10,21,2.02334375
"615",2017-02-10,22,1.96928125
"616",2017-02-10,23,2.0356875
"617",2017-02-10,24,2.2225625
"618",2017-02-10,25,2.34303125
"619",2017-02-10,26,2.39709375
"620",2017-02-10,27,2.51678125
"621",2017-02-10,28,2.70209375
"622",2017-02-11,2,0.9318125
"623",2017-02-11,3,1.18
"624",2017-02-11,4,1.2091875
"625",2017-02-11,5,1.2636875
"626",2017-02-11,6,1.3283125
"627",2017-02-11,7,1.4103125
"628",2017-02-11,8,1.4935
"629",2017-02-11,9,1.5745
"630",2017-02-11,10,1.639125
"631",2017-02-11,11,1.680125
"632",2017-02-11,12,1.7645
"633",2017-02-11,13,1.85225
"634",2017-02-11,14,1.89275
"635",2017-02-11,15,1.913
"636",2017-02-11,16,1.913
"637",2017-02-11,17,1.93325
"638",2017-02-11,18,1.97375
"639",2017-02-11,19,2.0100625
"640",2017-02-11,20,2.0421875
"641",2017-02-11,21,2.03459375
"642",2017-02-11,22,1.98728125
"643",2017-02-11,23,2.05340625
"644",2017-02-11,24,2.23296875
"645",2017-02-11,25,2.35428125
"646",2017-02-11,26,2.41734375
"647",2017-02-11,27,2.53590625
"648",2017-02-11,28,2.70996875
"649",2017-02-12,2,0.9273125
"650",2017-02-12,3,1.18233333333333
"651",2017-02-12,4,1.22220833333333
"652",2017-02-12,5,1.27495833333333
"653",2017-02-12,6,1.33339583333333
"654",2017-02-12,7,1.4148125
"655",2017-02-12,8,1.4951875
